Home_Team,City,Country,Stadium,Capacity,Pitch
Villarreal,Villarreal,Spain,Estadio de la Cerámica,24500,Natural
Málaga,Málaga,Spain,La Rosaleda,30044,Natural
Numancia,Soria,Spain,Nuevo Los Pajaritos,8727,Natural
Las Palmas,Las Palmas de Gran Canaria,Spain,Gran Canaria,32400,Natural
Recreativo,Huelva,Spain,Nuevo Colombino,21670,Natural
Real Murcia,Murcia,Spain,Enrique Roca de Murcia,31179,Natural
Levante,Valencia,Spain,Ciutat de Valencia,25354,Natural
Getafe,Getafe,Spain,Coliseum Alfonso Pérez,17700,Natural
Gimnàstic,Tarragona,Spain,Nou Estadi,14591,Natural
Almería,Almería,Spain,Juegos del Mediterráneo,15200,Natural
Xerez,Jerez de la Frontera,Spain,Estadio de la Juventud,5700,Natural
Granada,Granada,Spain,Nuevo Los Cármenes,19336,Natural
Elche,Elche,Spain,Martínez Valero,33732,Natural
Eibar,Eibar,Spain,Municipal de Ipurua,8164,Natural
Córdoba,Córdoba,Spain,Municipal Nuevo Arcángel,21822,Natural
Leganés,Leganés,Spain,Municipal de Butarque,11454,Natural
Girona,Girona,Spain,Montilivi,11056,Natural
Huesca,Huesca,Spain,El Alcoraz,7638,Natural
Sabadell,Sabadell,Spain,Nova Creu Alta,11981,Natural
Bilbao Ath.,Bilbao,Spain,Instalaciones de Lezama,2500,Natural
UE Figueres,Figueras,Spain,Municipal de Vilatenim,9472,Artificial
Palamós,Palamós,Spain,Nou Estadi Municipal Palamós,5824,Natural
Atlético B,Madrid,Spain,Cerro del Espino,3900,Natural
Sestao Sport Club,Sestao,Spain,,8905,Natural
RM Castilla,Madrid,Spain,Alfredo Di Stéfano,6000,Natural
Orihuela CF,Orihuela,Spain,Municipal Los Arcos,7000,Natural
Real Avilés,Avilés,Spain,Román Suárez Puerta,5400,Natural
Barcelona B,Barcelona,Spain,Estadio Johan Cruyff,6000,Natural
Atlético Marbella,Marbella,Spain,,7300,Natural
CD Badajoz,Extremadura,Spain,,14175,Natural
Lugo,Lugo,Spain,Estadio Anxo Carro,7250,Natural
CD Toledo,Toledo,Spain,Municipal Salto del Caballo,5500,Natural
CD Ourense,Ourense,Spain,,5658,Natural
Écija Balompié,Écija,Spain,Municipal San Pablo,4000,Natural
Real Jaén,Jaén,Spain,Municipal La Victoria,12569,Natural
Mallorca B,Palma de Mallorca,Spain,Son Bibiloni (Antonio Asensio),1500,Natural
Universidad LPGC,Gran Canarias,Spain,,3000,Artificial
Racing Ferrol,Ferrol,Spain,A Malata,12043,Natural
Burgos,Burgos,Spain,Municipal de El Plantío,12200,Natural
Poli Ejido,Ejido,Spain,Municipal De Santo Domingo,7870,Natural
Terrassa FC,Tarrassa,Spain,Olímpic de Terrassa,11500,Artificial
Ciudad de Murcia,Murcia,Spain,,6500,Natural
At. Malagueño,Málaga,Spain,Ciudad Deportiva de la Federación Malagueña,2000,Natural
Algeciras,Algeciras,Spain,Nuevo Mirador,8209,Natural
Pontevedra,Pontevedra,Spain,Estadio Municipal de Pasarón,10500,Natural
Lorca Deportiva,Lorca,Spain,,8120,Natural
Ponferradina,Ponferrada,Spain,Municipal El Toralín,8800,Natural
Vecindario,Las Palmas,Spain,,4500,Natural
Sevilla At.,Sevilla,Spain,Estadio Jesús Navas,6000,Natural
Granada 74,Granada,Spain,,4400,Natural
Alicante,Alicante,Spain,,4000,Natural
F.C. Cartagena,Cartagena,Spain,Cartagonova,15105,Natural
Villarreal B,Villarreal,Spain,Ciudad Deportiva Del Villarreal,5000,Natural
Real Unión Irún,Irun,Spain,Stadium Gal,5600,Natural
Alcorcón,Alcorcón,Spain,Santo Domingo,5000,Natural
